example_id                                 | status | run_time        |
------------------------------------------ | ------ | --------------- |
./spec/features/algorithmia_spec.rb[1:1]   | passed | 0.42592 seconds |
./spec/features/algorithmia_spec.rb[2:1]   | passed | 0.02373 seconds |
./spec/features/algorithmia_spec.rb[3:1]   | passed | 0.10707 seconds |
./spec/features/algorithmia_spec.rb[4:1]   | passed | 0.06595 seconds |
./spec/features/algorithmia_spec.rb[5:1]   | passed | 0.04462 seconds |
./spec/features/algorithmia_spec.rb[6:1]   | passed | 0.02967 seconds |
./spec/features/algorithmia_spec.rb[7:1]   | passed | 0.05147 seconds |
./spec/features/algorithmia_spec.rb[8:1]   | passed | 0.03795 seconds |
./spec/features/algorithmia_spec.rb[9:1]   | passed | 0.02798 seconds |
./spec/features/algorithmia_spec.rb[10:1]  | passed | 0.02208 seconds |
./spec/features/algorithmia_spec.rb[11:1]  | passed | 0.01762 seconds |
./spec/features/algorithmia_spec.rb[12:1]  | passed | 0.05064 seconds |
./spec/features/calculations_spec.rb[1:1]  | failed | 0.00177 seconds |
./spec/features/calculations_spec.rb[2:1]  | failed | 0.01092 seconds |
./spec/features/calculations_spec.rb[3:1]  | failed | 0.01252 seconds |
./spec/features/calculations_spec.rb[4:1]  | failed | 0.00236 seconds |
./spec/features/calculations_spec.rb[5:1]  | failed | 0.00266 seconds |
./spec/features/calculations_spec.rb[6:1]  | failed | 0.00329 seconds |
./spec/features/calculations_spec.rb[7:1]  | failed | 0.00248 seconds |
./spec/features/calculations_spec.rb[8:1]  | failed | 0.00186 seconds |
./spec/features/calculations_spec.rb[9:1]  | failed | 0.00305 seconds |
./spec/features/calculations_spec.rb[10:1] | failed | 0.0018 seconds  |
./spec/features/calculations_spec.rb[11:1] | failed | 0.00996 seconds |
./spec/features/calculations_spec.rb[12:1] | failed | 0.00451 seconds |
./spec/features/calculations_spec.rb[13:1] | failed | 0.00237 seconds |
./spec/features/calculations_spec.rb[14:1] | failed | 0.00178 seconds |
./spec/features/calculations_spec.rb[15:1] | failed | 0.00204 seconds |
./spec/features/calculations_spec.rb[16:1] | failed | 0.00338 seconds |
./spec/features/calculations_spec.rb[17:1] | failed | 0.00251 seconds |
./spec/features/calculations_spec.rb[18:1] | failed | 0.00189 seconds |
./spec/features/calculations_spec.rb[19:1] | failed | 0.00151 seconds |
./spec/features/calculations_spec.rb[20:1] | failed | 0.00165 seconds |
./spec/features/calculations_spec.rb[21:1] | failed | 0.00172 seconds |
./spec/features/calculations_spec.rb[22:1] | failed | 0.00156 seconds |
./spec/features/calculations_spec.rb[23:1] | failed | 0.00217 seconds |
./spec/features/calculations_spec.rb[24:1] | failed | 0.00172 seconds |
./spec/features/calculations_spec.rb[25:1] | failed | 0.00246 seconds |
./spec/features/calculations_spec.rb[26:1] | failed | 0.00374 seconds |
./spec/features/calculations_spec.rb[27:1] | failed | 0.01445 seconds |
./spec/features/calculations_spec.rb[28:1] | failed | 0.00421 seconds |
./spec/features/calculations_spec.rb[29:1] | failed | 0.00275 seconds |
./spec/features/calculations_spec.rb[30:1] | failed | 0.00284 seconds |
./spec/features/calculations_spec.rb[31:1] | failed | 0.00713 seconds |
./spec/features/calculations_spec.rb[32:1] | failed | 0.0046 seconds  |
./spec/features/calculations_spec.rb[33:1] | failed | 0.00726 seconds |
./spec/features/calculations_spec.rb[34:1] | failed | 0.00275 seconds |
./spec/features/calculations_spec.rb[35:1] | failed | 0.00208 seconds |
./spec/features/calculations_spec.rb[36:1] | failed | 0.00158 seconds |
./spec/features/calculations_spec.rb[37:1] | failed | 0.00161 seconds |
./spec/features/calculations_spec.rb[38:1] | failed | 0.00151 seconds |
./spec/features/calculations_spec.rb[39:1] | failed | 0.00172 seconds |
./spec/features/calculations_spec.rb[40:1] | failed | 0.00175 seconds |
./spec/features/calculations_spec.rb[41:1] | failed | 0.00183 seconds |
./spec/features/calculations_spec.rb[42:1] | failed | 0.00247 seconds |
./spec/features/calculations_spec.rb[43:1] | failed | 0.00183 seconds |
./spec/features/calculations_spec.rb[44:1] | failed | 0.00168 seconds |
./spec/features/calculations_spec.rb[45:1] | failed | 0.00279 seconds |
./spec/features/calculations_spec.rb[46:1] | failed | 0.00196 seconds |
./spec/features/calculations_spec.rb[47:1] | failed | 0.00396 seconds |
./spec/features/calculations_spec.rb[48:1] | failed | 0.0039 seconds  |
./spec/features/calculations_spec.rb[49:1] | failed | 0.00252 seconds |
